id,company_id,data_point,date_of_data,internal_company_id,report_type,created_by,created_date,last_modified_by,last_modified_date
310106,23199,0.710526315789474,2022-12-29,94,5,BATCH,2022-12-29 23:02:18.6190000,BATCH,2022-12-29 23:02:18.6190000
309825,23199,0.710526315789474,2022-12-28,94,5,BATCH,2022-12-28 23:02:06.7430000,BATCH,2022-12-28 23:02:06.7430000
309835,19900,0.876190476190476,2022-12-28,93,5,BATCH,2022-12-28 23:02:07.0170000,BATCH,2022-12-28 23:02:07.0170000
309872,20919,0.753086419753086,2022-12-28,95,5,BATCH,2022-12-28 23:02:10.5440000,BATCH,2022-12-28 23:02:10.5440000
309676,20919,0.783950617283951,2022-12-27,95,5,BATCH,2022-12-27 23:01:54.8060000,BATCH,2022-12-27 23:01:54.8060000
309592,19900,0.876190476190476,2022-12-27,93,5,BATCH,2022-12-27 23:01:49.3850000,BATCH,2022-12-27 23:01:49.3850000
309629,23199,0.710526315789474,2022-12-27,94,5,BATCH,2022-12-27 23:01:50.7900000,BATCH,2022-12-27 23:01:50.7900000
309286,23199,0.710526315789474,2022-12-26,94,5,BATCH,2022-12-26 23:01:44.3250000,BATCH,2022-12-26 23:01:44.3250000
309436,19900,0.876190476190476,2022-12-26,93,5,BATCH,2022-12-26 23:01:53.6060000,BATCH,2022-12-26 23:01:53.6060000
309379,20919,0.802469135802469,2022-12-26,95,5,BATCH,2022-12-26 23:01:49.4340000,BATCH,2022-12-26 23:01:49.4340000
309144,20919,0.808641975308642,2022-12-25,95,5,BATCH,2022-12-25 23:01:31.8790000,BATCH,2022-12-25 23:01:31.8790000
309060,19900,0.885714285714286,2022-12-25,93,5,BATCH,2022-12-25 23:01:26.1340000,BATCH,2022-12-25 23:01:26.1340000
309083,23199,0.578947368421053,2022-12-25,94,5,BATCH,2022-12-25 23:01:26.8760000,BATCH,2022-12-25 23:01:26.8760000
308854,23199,0.578947368421053,2022-12-24,94,5,BATCH,2022-12-24 23:01:07.9900000,BATCH,2022-12-24 23:01:07.9900000
308804,19900,0.885714285714286,2022-12-24,93,5,BATCH,2022-12-24 23:01:06.4440000,BATCH,2022-12-24 23:01:06.4440000
308891,20919,0.802469135802469,2022-12-24,95,5,BATCH,2022-12-24 23:01:11.3920000,BATCH,2022-12-24 23:01:11.3920000
308618,20919,0.75,2022-12-23,95,5,BATCH,2022-12-23 23:01:04.4620000,BATCH,2022-12-23 23:01:04.4620000
308572,19900,0.876190476190476,2022-12-23,93,5,BATCH,2022-12-23 23:00:59.7110000,BATCH,2022-12-23 23:00:59.7110000
308547,23199,0.578947368421053,2022-12-23,94,5,BATCH,2022-12-23 23:00:58.6150000,BATCH,2022-12-23 23:00:58.6150000
308365,23199,0.578947368421053,2022-12-22,94,5,BATCH,2022-12-22 23:00:52.3920000,BATCH,2022-12-22 23:00:52.3920000
308317,19900,0.876190476190476,2022-12-22,93,5,BATCH,2022-12-22 23:00:50.1800000,BATCH,2022-12-22 23:00:50.1800000
308412,20919,0.75,2022-12-22,95,5,BATCH,2022-12-22 23:00:56.7050000,BATCH,2022-12-22 23:00:56.7050000
308117,20919,0.696428571428571,2022-12-21,95,5,BATCH,2022-12-21 23:00:44.8020000,BATCH,2022-12-21 23:00:44.8020000
308158,19900,0.79047619047619,2022-12-21,93,5,BATCH,2022-12-21 23:00:49.6040000,BATCH,2022-12-21 23:00:49.6040000
308088,23199,0.421052631578947,2022-12-21,94,5,BATCH,2022-12-21 23:00:41.9690000,BATCH,2022-12-21 23:00:41.9690000
307859,23199,0.263157894736842,2022-12-20,94,5,BATCH,2022-12-20 23:00:32.0640000,BATCH,2022-12-20 23:00:32.0640000
307836,19900,0.761904761904762,2022-12-20,93,5,BATCH,2022-12-20 23:00:31.0040000,BATCH,2022-12-20 23:00:31.0040000
307909,20919,0.696428571428571,2022-12-20,95,5,BATCH,2022-12-20 23:00:37.9910000,BATCH,2022-12-20 23:00:37.9910000
307599,20919,0.714285714285714,2022-12-19,95,5,BATCH,2022-12-19 23:00:14.1750000,BATCH,2022-12-19 23:00:14.1750000
307589,19900,0.80952380952381,2022-12-19,93,5,BATCH,2022-12-19 23:00:13.3780000,BATCH,2022-12-19 23:00:13.3780000
307567,23199,0.263157894736842,2022-12-19,94,5,BATCH,2022-12-19 23:00:12.6130000,BATCH,2022-12-19 23:00:12.6130000
307299,23199,0.263157894736842,2022-12-18,94,5,BATCH,2022-12-18 23:04:33.2670000,BATCH,2022-12-18 23:04:33.2670000
307408,19900,0.80952380952381,2022-12-18,93,5,BATCH,2022-12-18 23:04:41.9980000,BATCH,2022-12-18 23:04:41.9980000
307364,20919,0.630952380952381,2022-12-18,95,5,BATCH,2022-12-18 23:04:40.0970000,BATCH,2022-12-18 23:04:40.0970000
307150,20919,0.589285714285714,2022-12-17,95,5,BATCH,2022-12-17 23:04:28.2090000,BATCH,2022-12-17 23:04:28.2090000
307086,19900,0.676190476190476,2022-12-17,93,5,BATCH,2022-12-17 23:04:23.8800000,BATCH,2022-12-17 23:04:23.8800000
307120,23199,0.263157894736842,2022-12-17,94,5,BATCH,2022-12-17 23:04:25.3940000,BATCH,2022-12-17 23:04:25.3940000
306824,23199,0.263157894736842,2022-12-16,94,5,BATCH,2022-12-16 23:13:56.0820000,BATCH,2022-12-16 23:13:56.0820000
306908,19900,0.586538461538462,2022-12-16,93,5,BATCH,2022-12-16 23:14:04.1870000,BATCH,2022-12-16 23:14:04.1870000
306873,20919,0.630952380952381,2022-12-16,95,5,BATCH,2022-12-16 23:14:02.3580000,BATCH,2022-12-16 23:14:02.3580000
305941,20919,0.696428571428571,2022-12-15,95,5,BATCH,2022-12-15 17:44:57.4280000,BATCH,2022-12-15 17:44:57.4280000
305836,19900,0.634615384615385,2022-12-15,93,5,BATCH,2022-12-15 17:44:49.2760000,BATCH,2022-12-15 17:44:49.2760000
305895,23199,0.263157894736842,2022-12-15,94,5,BATCH,2022-12-15 17:44:52.5460000,BATCH,2022-12-15 17:44:52.5460000
305658,23199,0.151515151515151,2022-12-14,94,5,BATCH,2022-12-14 23:01:09.6850000,BATCH,2022-12-14 23:01:09.6850000
305715,19900,0.673076923076923,2022-12-14,93,5,BATCH,2022-12-14 23:01:11.6970000,BATCH,2022-12-14 23:01:11.6970000
305641,20919,0.6,2022-12-14,95,5,BATCH,2022-12-14 23:01:07.3990000,BATCH,2022-12-14 23:01:07.3990000
305444,20919,0.609195402298851,2022-12-13,95,5,BATCH,2022-12-13 23:00:57.0220000,BATCH,2022-12-13 23:00:57.0220000
